92	20	2847
-1	339	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	263	-1	-1	127	-1	-1	-1	-1	-1	-1	170	-1	-1	-1	-1	-1	345	-1	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1151	-1	-1	-1	-1	-1	-1	-1	0	2254	-1	929	-1	501	-1	-1	-1	-1	-1	-1	-1	-1	431	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99	-1	-1	-1	-1	-1	-1	2478	699	
-1	-1	-1	-1	-1	-1	-1	-1	702	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	52	-1	-1	-1	-1	113	-1	-1	-1	-1	-1	-1	109	-1	-1	-1	-1	662	-1	-1	-1	-1	39	-1	-1	228	104	-1	-1	372	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	235	-1	-1	353	-1	-1	-1	382	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	174	-1	-1	-1	60	-1	-1	50	1020	1754	
43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	257	-1	102	-1	-1	-1	78	-1	-1	5	-1	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	-1	61	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	173	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2296	-1	
-1	-1	-1	1124	-1	-1	-1	134	-1	-1	-1	-1	-1	0	624	-1	-1	265	-1	-1	-1	-1	-1	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	410	53	335	-1	-1	-1	-1	-1	-1	-1	-1	527	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	115	-1	-1	-1	-1	-1	-1	1060	114	-1	-1	-1	-1	-1	-1	290	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1360	883	1412	1560	
-1	-1	-1	-1	-1	-1	-1	231	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	158	-1	-1	-1	-1	-1	-1	-1	-1	-1	420	-1	-1	-1	43	-1	185	8	-1	683	-1	-1	29	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	276	-1	-1	-1	-1	-1	-1	130	-1	-1	-1	-1	-1	48	-1	754	-1	-1	1147	993	
-1	-1	-1	-1	156	-1	-1	-1	-1	-1	-1	-1	-1	318	-1	-1	-1	-1	-1	-1	597	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	105	-1	-1	-1	-1	-1	-1	2016	-1	-1	-1	53	-1	-1	-1	-1	0	-1	281	-1	-1	-1	-1	-1	-1	-1	2418	1085	
-1	-1	-1	-1	-1	-1	-1	-1	-1	155	-1	-1	-1	-1	-1	-1	-1	81	-1	-1	-1	-1	-1	-1	-1	-1	668	-1	-1	-1	-1	-1	-1	50	-1	-1	55	-1	-1	760	-1	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	144	-1	-1	-1	-1	-1	132	195	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	89	-1	67	-1	54	-1	-1	-1	-1	2818	-1	
-1	-1	-1	-1	-1	69	108	-1	-1	-1	-1	98	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	19	-1	-1	-1	-1	209	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	2554	-1	-1	-1	-1	-1	-1	-1	-1	558	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	1772	1340	
-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	321	-1	-1	-1	-1	1247	-1	-1	-1	-1	-1	-1	-1	-1	-1	78	-1	-1	-1	-1	108	4	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	56	89	-1	-1	-1	964	-1	16	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	2440	
-1	-1	-1	223	-1	-1	-1	-1	-1	-1	99	-1	-1	-1	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	81	-1	-1	-1	-1	-1	151	-1	-1	-1	-1	-1	-1	-1	-1	1	94	194	-1	-1	-1	-1	-1	-1	-1	2339	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	226	343	-1	-1	-1	-1	-1	-1	-1	184	-1	-1	-1	-1	-1	-1	1191	
